fileName,A,B,AtoB (bit/s),BtoA (bit/s)
EP001-1509299906898,192.168.0.110:44588,192.168.0.110:1883,583.1819235,464.160333
EP001-1509299906898,127.0.0.1:36382,127.0.0.1:1883,96.67914642,538.2877962
EP001-1509299906898,192.168.0.123:39335,192.168.0.110:3000,1311.810892,643.5850317
EP001-1509299906898,192.168.0.123:39369,192.168.0.110:3000,1443.756307,631.5153192
EP001-1509299906898,192.168.0.123:39359,192.168.0.110:3000,1376.751142,672.7509633
EP001-1509299906898,192.168.0.123:39382,192.168.0.110:3000,1607.097551,643.9500159
EP001-1509299906898,192.168.0.123:39397,192.168.0.110:3000,1605.538253,643.4963157
EP001-1509299906898,192.168.0.123:39351,192.168.0.110:3000,1442.043831,685.952756
EP001-1509299906898,192.168.0.123:39371,192.168.0.110:3000,1416.006205,671.8244189
EP001-1509299906898,192.168.0.123:39374,192.168.0.110:3000,1410.77632,668.9104272
EP001-1509299906898,192.168.0.123:39333,192.168.0.110:3000,1405.316563,684.0077633
EP001-1509299906898,192.168.0.123:39336,192.168.0.110:3000,1407.040451,684.392686
EP001-1509299906898,192.168.0.123:39337,192.168.0.110:3000,1411.290795,687.1435765
EP001-1509299906898,192.168.0.123:39339,192.168.0.110:3000,1416.602573,689.043758
EP001-1509299906898,192.168.0.123:39340,192.168.0.110:3000,1403.712904,682.7741481
EP001-1509299906898,192.168.0.123:39341,192.168.0.110:3000,1404.649347,683.6830102
EP001-1509299906898,192.168.0.123:39343,192.168.0.110:3000,1414.384345,688.421312
EP001-1509299906898,192.168.0.123:39344,192.168.0.110:3000,1390.165295,676.6332078
EP001-1509299906898,192.168.0.123:39345,192.168.0.110:3000,1401.156593,681.7567901
EP001-1509299906898,192.168.0.123:39347,192.168.0.110:3000,1418.235379,690.0667664
EP001-1509299906898,192.168.0.123:39348,192.168.0.110:3000,1410.495117,686.073056
EP001-1509299906898,192.168.0.123:39349,192.168.0.110:3000,1413.849415,688.1609462
EP001-1509299906898,192.168.0.123:39352,192.168.0.110:3000,1409.545307,686.2937157
EP001-1509299906898,192.168.0.123:39354,192.168.0.110:3000,1407.545255,684.6382256
EP001-1509299906898,192.168.0.123:39356,192.168.0.110:3000,1413.555169,688.0177281
EP002-1509302394376,192.168.0.110:44952,192.168.0.110:1883,538.4190498,522.965607
EP002-1509302394376,127.0.0.1:36382,127.0.0.1:1883,98.83633989,613.1011613
EP002-1509302394376,192.168.0.123:47190,192.168.0.110:3000,9939.439042,931.9173333
EP002-1509302394376,192.168.0.123:47151,192.168.0.110:3000,1398.767322,714.2978199
EP002-1509302394376,192.168.0.123:47163,192.168.0.110:3000,1386.348108,664.3009852
EP002-1509302394376,192.168.0.123:47215,192.168.0.110:3000,1392.37301,711.0420852
EP002-1509302394376,192.168.0.123:47218,192.168.0.110:3000,1352.034799,660.8777694
EP002-1509302394376,192.168.0.123:47220,192.168.0.110:3000,1437.253875,653.7524755
EP002-1509302394376,192.168.0.123:47146,192.168.0.110:3000,1375.089049,668.8513379
EP002-1509302394376,192.168.0.123:47147,192.168.0.110:3000,1368.949005,665.8647845
EP002-1509302394376,192.168.0.123:47149,192.168.0.110:3000,1344.044216,678.4972004
EP002-1509302394376,192.168.0.123:47150,192.168.0.110:3000,1401.945531,682.5934596
EP002-1509302394376,192.168.0.123:47153,192.168.0.110:3000,1393.081997,678.5030844
EP002-1509302394376,192.168.0.123:47154,192.168.0.110:3000,1349.137493,681.0683767
EP002-1509302394376,192.168.0.123:47157,192.168.0.110:3000,1408.326444,685.7002632
EP002-1509302394376,192.168.0.123:47158,192.168.0.110:3000,1393.379367,678.4226788
EP002-1509302394376,192.168.0.123:47159,192.168.0.110:3000,2426.099412,898.9865719
EP002-1509302394376,192.168.0.123:47162,192.168.0.110:3000,1301.304495,656.9214364
EP002-1509302394376,192.168.0.123:47165,192.168.0.110:3000,1328.688103,670.283854
EP002-1509302394376,192.168.0.123:47166,192.168.0.110:3000,1286.968941,649.6845963
EP002-1509302394376,192.168.0.123:47194,192.168.0.110:3000,1304.462487,658.0667606
EP002-1509302394376,192.168.0.123:47195,192.168.0.110:3000,1391.521355,677.505914
EP002-1509302394376,192.168.0.123:47199,192.168.0.110:3000,1401.993452,682.6045835
EP002-1509302394376,192.168.0.123:47201,192.168.0.110:3000,1376.842659,670.3591291
EP002-1509302394376,192.168.0.123:47202,192.168.0.110:3000,1413.714581,688.3113834
EP003-1509308689493,192.168.0.110:46216,192.168.0.110:1883,654.6278106,526.1010835
EP003-1509308689493,127.0.0.1:36382,127.0.0.1:1883,107.1398737,612.122903
EP003-1509308689493,192.168.0.123:47378,192.168.0.110:3000,1636.384537,856.8704484
EP003-1509308689493,192.168.0.123:47379,192.168.0.110:3000,1638.149125,797.5843965
EP003-1509308689493,192.168.0.123:47381,192.168.0.110:3000,1639.308561,798.1489043
EP003-1509308689493,192.168.0.123:47382,192.168.0.110:3000,1648.181398,802.2025
EP003-1509308689493,192.168.0.123:47383,192.168.0.110:3000,1642.745178,799.2912152
EP003-1509308689493,192.168.0.123:47385,192.168.0.110:3000,1644.645044,800.2156106
EP003-1509308689493,192.168.0.123:47386,192.168.0.110:3000,1641.536932,798.7033329
EP003-1509308689493,192.168.0.123:47387,192.168.0.110:3000,1643.260342,799.5418723
EP003-1509308689493,192.168.0.123:47389,192.168.0.110:3000,1641.447503,798.6598205
EP003-1509308689493,192.168.0.123:47390,192.168.0.110:3000,1644.106583,799.953618
EP003-1509308689493,192.168.0.123:47394,192.168.0.110:3000,1644.220859,800.5406106
EP003-1509308689493,192.168.0.123:47395,192.168.0.110:3000,1644.473421,800.6635786
EP003-1509308689493,192.168.0.123:47396,192.168.0.110:3000,1642.835952,799.8663252
EP003-1509308689493,192.168.0.123:47398,192.168.0.110:3000,1639.04643,798.0212774
EP003-1509308689493,192.168.0.123:47399,192.168.0.110:3000,1634.20273,795.1348163
EP003-1509308689493,192.168.0.123:47400,192.168.0.110:3000,1642.952325,799.392004
EP003-1509308689493,192.168.0.123:47403,192.168.0.110:3000,1642.073711,798.9645071
EP003-1509308689493,192.168.0.123:47404,192.168.0.110:3000,1638.446114,797.1994698
EP003-1509308689493,192.168.0.123:47406,192.168.0.110:3000,1644.83837,800.8412657
EP003-1509308689493,192.168.0.123:47407,192.168.0.110:3000,1634.962032,795.5042614
EP003-1509308689493,192.168.0.123:47408,192.168.0.110:3000,1642.303067,799.0761023
EP003-1509308689493,192.168.0.123:47409,192.168.0.110:3000,1630.828621,794.2839728
EP003-1509308689493,192.168.0.123:47416,192.168.0.110:3000,1639.107772,798.0511439
EP004-1509310506823,192.168.0.110:46600,192.168.0.110:1883,494.9223512,386.9225882
EP004-1509310506823,127.0.0.1:36382,127.0.0.1:1883,82.74275766,443.1863193
EP004-1509310506823,192.168.0.123:47492,192.168.0.110:3000,1859.867355,1184.265262
EP004-1509310506823,192.168.0.123:47455,192.168.0.110:3000,1605.650696,781.5019657
EP004-1509310506823,192.168.0.123:47456,192.168.0.110:3000,1649.670867,802.9274538
EP004-1509310506823,192.168.0.123:47462,192.168.0.110:3000,1647.296165,802.0379204
EP004-1509310506823,192.168.0.123:47463,192.168.0.110:3000,1653.874551,805.5083363
EP004-1509310506823,192.168.0.123:47464,192.168.0.110:3000,1644.074969,800.4695797
EP004-1509310506823,192.168.0.123:47465,192.168.0.110:3000,1649.73855,802.6938977
EP004-1509310506823,192.168.0.123:47468,192.168.0.110:3000,1645.397236,800.5815958
EP004-1509310506823,192.168.0.123:47469,192.168.0.110:3000,1649.089559,802.3781262
